,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
128,basay,ph,9.41,122.64,24.87,5.87,100.0,0.0
130,pochutla,mx,15.74,-96.47,34.0,10.3,98.0,20.0
131,mamallapuram,in,12.63,80.17,28.0,3.1,88.0,40.0
132,huarmey,pe,-10.07,-78.15,24.72,1.72,57.0,12.0
133,kysyl-syr,ru,63.9,122.77,-18.48,2.02,68.0,0.0
134,lensk,ru,60.71,114.91,-11.88,1.87,70.0,0.0
136,qandala,so,11.47,49.87,18.35,0.67,99.0,0.0
137,maloy,no,61.94,5.11,1.0,4.1,47.0,0.0
138,bundaberg,au,-24.87,152.35,24.52,10.12,100.0,48.0
139,karasjok,no,69.47,25.52,-9.0,0.5,85.0,12.0
141,eyl,so,7.98,49.82,25.02,5.32,100.0,0.0
142,bingerville,ci,5.36,-3.89,28.0,3.1,88.0,40.0
143,stromness,gb,58.97,-3.3,4.0,12.9,93.0,92.0
144,victoria,sc,-4.62,55.45,26.0,1.5,78.0,36.0
146,caraballeda,ve,10.61,-66.85,26.0,1.5,94.0,90.0
147,terre haute,us,39.47,-87.41,13.0,2.6,100.0,90.0
148,denia,es,38.84,0.11,15.37,3.02,85.0,76.0
149,miranda de ebro,es,42.69,-2.95,12.0,1.0,93.0,75.0
150,takoradi,gh,4.89,-1.75,27.72,3.62,98.0,8.0
151,matara,lk,5.95,80.54,25.05,1.42,100.0,32.0
152,moree,au,-29.46,149.84,18.72,1.87,86.0,0.0
153,pocone,br,-16.26,-56.62,22.6,1.42,100.0,88.0
154,kudahuvadhoo,mv,2.67,72.89,28.12,0.82,100.0,36.0
155,keuruu,fi,62.26,24.71,-10.0,1.0,78.0,0.0
157,siocon,ph,11.03,124.04,26.2,7.37,100.0,76.0
158,watertown,us,44.9,-97.12,7.0,3.6,75.0,1.0
159,butembo,cd,0.12,29.29,16.65,0.77,95.0,36.0
160,iowa city,us,41.66,-91.53,3.0,4.6,74.0,90.0
161,ayr,au,-19.58,147.4,25.6,5.77,95.0,88.0
162,chuy,uy,-33.69,-53.46,20.7,5.67,77.0,56.0
163,eureka,us,40.8,-124.16,14.0,7.2,76.0,75.0
164,challapata,bo,-18.9,-66.78,10.72,2.27,57.0,8.0
165,chokwe,mz,-24.53,32.98,21.9,2.67,95.0,0.0
166,avarua,ck,-21.21,-159.78,26.0,5.7,94.0,90.0
167,kutum,sd,14.2,24.66,18.6,1.72,39.0,8.0
168,basoko,cd,1.23,23.61,22.95,1.62,94.0,68.0
169,tsabong,bw,-26.02,22.4,20.1,4.57,47.0,8.0
